alert_id,type,module,message,action,revenue_impact_k,date
1,URGENT,HCP Retention,"Dr. Patricia Nguyen (Tier 1, Seattle) reduced Onconova Rx by 43% this month. Last rep contact: 61 days ago. Recommend immediate MSL outreach.",Schedule MSL visit within 48 hours,840,2025-10-28
2,URGENT,Patient Retention,CVS Specialty Pharmacy (Pacific Northwest) showing 18% spike in Onconova discontinuations this week. Possible formulary change signal.,Contact CVS Specialty account manager today,1200,2025-10-28
3,WARNING,Rep Management,Chicago North territory: 4 reps covering only 9 active HCPs. 2 of those HCPs are Tier 3. Strong consolidation candidate.,Flag for Q1 2026 rep reduction planning,210,2025-10-27
4,WARNING,Competitive Intel,ANDA count now at 6 (added Dr. Reddy's this week). Revised generic entry probability: 72% by Q3 2027 (was 65%).,Brief CCO and update LOE defense timeline,18000,2025-10-27
5,OPPORTUNITY,HCP Targeting,3 high-volume oncologists in New Jersey (avg 95 Rx/month each) have had zero rep contact in 60+ days. Reallocation opportunity.,Assign Rep ID 1087 or 1143 to these accounts immediately,1800,2025-10-26
6,OPPORTUNITY,Patient Retention,"1,840 patients with days supply < 7 days who are NOT enrolled in copay assist. High churn risk at next refill.",Trigger patient support hub outreach for these patients,3200,2025-10-26
7,INSIGHT,Revenue,Q3 2025 actual revenue ($162M) exceeded forecast by 4.2%. Growth driven by Northeast and West regions. Midwest underperforming by 8%.,Review Midwest commercial plan; redirect resources from over-indexed Northeast,480,2025-10-25
8,WARNING,Market Access,Express Scripts conducting formulary review of Onconova in December 2025. Risk of non-preferred status affecting 12% of patient base.,Escalate to Market Access team; schedule rebate negotiation,2400,2025-10-25
9,INSIGHT,Rep Management,Top 30 reps by retention score cover 38% of all Tier 1 HCPs. Protecting these reps through LOE is critical to revenue defense.,Lock top 30 rep retention in next planning cycle,5600,2025-10-24
10,URGENT,Erosion Drivers,"Formulary downgrade risk from 3 PBMs elevated to HIGH. Combined patient exposure: ~4,200 patients. HEOR dossier deadline is Q1 2026.",Accelerate HEOR dossier submission to December 2025,8400,2025-10-24
